Player_Id,Player_Name,DOB,Batting_Hand,Bowling_Skill,Country
1,SC Ganguly,08-07-1972,Left_Hand,Right-arm medium,India
2,BB McCullum,09-07-1972,Right_Hand,Right-arm medium,New Zealand
3,RT Ponting,10-07-1972,Right_Hand,Right-arm medium,Australia
4,DJ Hussey,11-07-1972,Right_Hand,Right-arm offbreak,Australia
5,Mohammad Hafeez,12-07-1972,Right_Hand,Right-arm offbreak,Pakistan
6,R Dravid,13-07-1972,Right_Hand,Right-arm offbreak,India
7,W Jaffer,14-07-1972,Right_Hand,Right-arm offbreak,India
8,V Kohli,15-07-1972,Right_Hand,Right-arm medium,India
9,JH Kallis,16-07-1972,Right_Hand,Right-arm fast-medium,South Africa
10,CL White,17-07-1972,Right_Hand,Legbreak googly,Australia
11,MV Boucher,18-07-1972,Right_Hand,Right-arm medium,South Africa
12,B Akhil,19-07-1972,Right_Hand,Right-arm medium-fast,India
13,AA Noffke,20-07-1972,Right_Hand,Right-arm fast-medium,Australia
14,P Kumar,21-07-1972,Right_Hand,Right-arm medium,India
15,Z Khan,22-07-1972,Right_Hand,Left-arm fast-medium,India
16,SB Joshi,23-07-1972,Left_Hand,Slow left-arm orthodox,India
17,PA Patel,24-07-1972,Left_Hand,NULL,India
18,ML Hayden,25-07-1972,Left_Hand,Right-arm medium,Australia
19,MEK Hussey,26-07-1972,Left_Hand,Right-arm medium,Australia
20,MS Dhoni,27-07-1972,Right_Hand,Right-arm medium,India
21,SK Raina,28-07-1972,Left_Hand,Right-arm offbreak,India
22,JDP Oram,29-07-1972,Left_Hand,Right-arm fast-medium,New Zealand
23,S Badrinath,30-07-1972,Right_Hand,Right-arm offbreak,India
24,K Goel,31-07-1972,Left_Hand,Right-arm offbreak,India
25,JR Hopes,01-08-1972,Right_Hand,Right-arm medium,Australia
26,KC Sangakkara,02-08-1972,Left_Hand,Right-arm offbreak,Sri Lanka
27,Yuvraj Singh,03-08-1972,Left_Hand,Slow left-arm orthodox,India
28,SM Katich,04-08-1972,Left_Hand,Slow left-arm chinaman,Australia
29,IK Pathan,05-08-1972,Left_Hand,Left-arm medium-fast,India
30,T Kohli,06-08-1972,Right_Hand,Right-arm medium,India
31,YK Pathan,07-08-1972,Right_Hand,Right-arm offbreak,India
32,SR Watson,08-08-1972,Right_Hand,Right-arm fast-medium,Australia
33,M Kaif,09-08-1972,Right_Hand,Right-arm offbreak,India
34,DS Lehmann,10-08-1972,Left_Hand,Slow left-arm orthodox,Australia
35,RA Jadeja,11-08-1972,Left_Hand,Slow left-arm orthodox,India
36,M Rawat,12-08-1972,Right_Hand,NULL,India
37,D Salunkhe,13-08-1972,Right_Hand,Legbreak,India
38,SK Warne,14-08-1972,Right_Hand,Legbreak googly,Australia
39,SK Trivedi,15-08-1972,Right_Hand,Right-arm medium,India
40,G Gambhir,16-08-1972,Left_Hand,Legbreak,India
41,V Sehwag,17-08-1972,Right_Hand,Right-arm offbreak,India
42,S Dhawan,18-08-1972,Left_Hand,Right-arm offbreak,India
43,L Ronchi,19-08-1972,Right_Hand,NULL,Australia
44,ST Jayasuriya,20-08-1972,Left_Hand,Slow left-arm orthodox,Sri Lanka
45,DJ Thornely,21-08-1972,Right_Hand,Right-arm medium,Australia
46,RV Uthappa,22-08-1972,Right_Hand,Right-arm medium,India
47,PR Shah,23-08-1972,Right_Hand,NULL,India
48,AM Nayar,24-08-1972,Left_Hand,Right-arm medium,India
49,SM Pollock,25-08-1972,Right_Hand,Right-arm fast-medium,South Africa
50,Harbhajan Singh,26-08-1972,Right_Hand,Right-arm offbreak,India
51,S Chanderpaul,27-08-1972,Left_Hand,Legbreak,West Indies
52,LRPL Taylor,28-08-1972,Right_Hand,Right-arm offbreak,New Zealand
53,AC Gilchrist,29-08-1972,Left_Hand,Right-arm offbreak,Australia
54,Y Venugopal Rao,30-08-1972,Right_Hand,Right-arm offbreak,India
55,VVS Laxman,31-08-1972,Right_Hand,Right-arm offbreak,India
56,A Symonds,01-09-1972,Right_Hand,Right-arm offbreak,Australia
57,RG Sharma,02-09-1972,Right_Hand,Right-arm offbreak,India
58,SB Styris,03-09-1972,Right_Hand,Right-arm medium,New Zealand
59,SB Bangar,04-09-1972,Right_Hand,Right-arm medium-fast,India
60,WPUJC Vaas,05-09-1972,Left_Hand,Left-arm fast-medium,Sri Lanka
61,RP Singh,06-09-1972,Right_Hand,Left-arm fast-medium,India
62,WP Saha,07-09-1972,Right_Hand,NULL,India
63,LR Shukla,08-09-1972,Right_Hand,Right-arm medium,India
64,DPMD Jayawardene,09-09-1972,Right_Hand,Right-arm medium,Sri Lanka
65,S Sohal,10-09-1972,Right_Hand,Legbreak,India
66,B Lee,11-09-1972,Right_Hand,Right-arm fast,Australia
67,PP Chawla,12-09-1972,Left_Hand,Legbreak,India
68,WA Mota,13-09-1972,Right_Hand,Right-arm medium,India
69,Kamran Akmal,14-09-1972,Right_Hand,NULL,Pakistan
70,Shahid Afridi,15-09-1972,Right_Hand,Legbreak googly,Pakistan
71,DJ Bravo,16-09-1972,Right_Hand,Right-arm medium-fast,West Indies
72,MA Khote,17-09-1972,Right_Hand,Right-arm medium,India
73,A Nehra,18-09-1972,Right_Hand,Left-arm medium-fast,India
74,GC Smith,19-09-1972,Left_Hand,Right-arm offbreak,South Africa
75,Pankaj Singh,20-09-1972,Right_Hand,Right-arm medium-fast,India
76,RR Sarwan,21-09-1972,Right_Hand,Legbreak,West Indies
77,S Sreesanth,22-09-1972,Right_Hand,Right-arm fast-medium,India
78,VRV Singh,23-09-1972,Right_Hand,Right-arm medium-fast,India
79,SS Tiwary,24-09-1972,Left_Hand,NULL,India
80,DS Kulkarni,25-09-1972,Right_Hand,Right-arm medium,India
81,R Vinay Kumar,26-09-1972,Right_Hand,Right-arm medium,India
82,AB Agarkar,27-09-1972,Right_Hand,Right-arm fast,India
83,M Kartik,28-09-1972,Left_Hand,Slow left-arm orthodox,India
84,I Sharma,29-09-1972,Right_Hand,Right-arm fast-medium,India
85,AM Rahane,30-09-1972,Right_Hand,Right-arm medium,India
86,Shoaib Malik,01-10-1972,Right_Hand,Right-arm offbreak,Pakistan
87,MK Tiwary,02-10-1972,Right_Hand,Legbreak googly,India
88,KD Karthik,03-10-1972,Right_Hand,NULL,India
89,R Bhatia,04-10-1972,Right_Hand,Right-arm medium-fast,India
90,MF Maharoof,05-10-1972,Right_Hand,Right-arm fast-medium,India
91,VY Mahesh,06-10-1972,Right_Hand,Right-arm medium-fast,India
92,TM Srivastava,07-10-1972,Left_Hand,Right-arm medium,India
93,B Chipli,08-10-1972,Right_Hand,Right-arm medium,India
94,DW Steyn,09-10-1972,Right_Hand,Right-arm fast,South Africa
95,DB Das,10-10-1972,Right_Hand,Legbreak googly,India
96,MK Pandey,11-10-1972,Right_Hand,Right-arm medium,India
97,HH Gibbs,12-10-1972,Right_Hand,Right-arm bowler,South Africa
98,DNT Zoysa,13-10-1972,Left_Hand,Left-arm fast-medium,Sri Lanka
99,D Kalyankrishna,14-10-1972,Right_Hand,Right-arm medium-fast,India
100,SE Marsh,15-10-1972,Left_Hand,Slow left-arm orthodox,Australia
101,SA Asnodkar,16-10-1972,Right_Hand,Right-arm offbreak,India
102,Sohail Tanvir,17-10-1972,Left_Hand,Left-arm medium-fast,Pakistan
103,Salman Butt,18-10-1972,Left_Hand,Right-arm offbreak,Pakistan
104,BJ Hodge,19-10-1972,Right_Hand,Right-arm offbreak,Australia
105,Umar Gul,20-10-1972,Right_Hand,Right-arm fast-medium,Pakistan
106,AB Dinda,21-10-1972,Right_Hand,Right-arm medium-fast,India
107,SP Fleming,22-10-1972,Left_Hand,NULL,New Zealand
108,S Vidyut,23-10-1972,Left_Hand,Slow left-arm orthodox,India
109,JA Morkel,24-10-1972,Left_Hand,Right-arm medium-fast,South Africa
110,AB de Villiers,25-10-1972,Right_Hand,Right-arm medium,South Africa
111,LPC Silva,26-10-1972,Right_Hand,Legbreak,Sri Lanka
112,DB Ravi Teja,27-10-1972,Right_Hand,Legbreak googly,India
113,Misbah-ul-Haq,28-10-1972,Right_Hand,Legbreak,Pakistan
114,YV Takawale,29-10-1972,Right_Hand,NULL,India
115,RR Raje,30-10-1972,Right_Hand,Right-arm fast-medium,India
116,PJ Sangwan,31-10-1972,Right_Hand,Left-arm medium,India
117,Mohammad Asif,01-11-1972,Left_Hand,Right-arm fast-medium,Pakistan
118,GD McGrath,02-11-1972,Right_Hand,Right-arm fast-medium,Australia
119,Joginder Sharma,03-11-1972,Right_Hand,Right-arm fast-medium,India
120,MS Gony,04-11-1972,Right_Hand,Right-arm medium,India
121,M Muralitharan,05-11-1972,Right_Hand,Right-arm offbreak,Sri Lanka
122,M Ntini,06-11-1972,Right_Hand,Right-arm fast,South Africa
123,DT Patil,07-11-1972,Right_Hand,NULL,India
124,A Kumble,08-11-1972,Right_Hand,Legbreak googly,India
125,S Anirudha,09-11-1972,Right_Hand,NULL,India
126,MM Patel,10-11-1972,Right_Hand,Right-arm medium-fast,India
127,CK Kapugedera,11-11-1972,Right_Hand,Right-arm medium,Sri Lanka
128,A Chopra,12-11-1972,Right_Hand,Right-arm offbreak,India
129,T Taibu,13-11-1972,Right_Hand,Right-arm medium,Zimbabwea
130,J Arunkumar,14-11-1972,Right_Hand,Right-arm offbreak,India
131,PP Ojha,15-11-1972,Left_Hand,Slow left-arm orthodox,India
132,SP Goswami,16-11-1972,Left_Hand,NULL,India
133,SR Tendulkar,17-11-1972,Right_Hand,Right-arm offbreak,India
