Match_Id,Match_Date,Team_Name_Id,Opponent_Team_Id,Season_Id,Venue_Name,Toss_Winner_Id,Toss_Decision,IS_Superover,IS_Result,Is_DuckWorthLewis,Win_Type,Won_By,Match_Winner_Id,Man_Of_The_Match_Id,City_Name,Host_Country
335987,18-04-2008,2,1,1,M Chinnaswamy Stadium,2,field,0,1,0,by runs,140,1,2,Bangalore,India
335988,19-04-2008,4,3,1,"Punjab Cricket Association Stadium, Mohali",3,bat,0,1,0,by runs,33,3,19,Chandigarh,India
335989,20-04-2008,6,5,1,Feroz Shah Kotla,5,bat,0,1,0,by wickets,9,6,90,Delhi,India
335990,21-04-2008,7,2,1,Wankhede Stadium,7,bat,0,1,0,by wickets,5,2,11,Mumbai,India
335991,22-04-2008,1,8,1,Eden Gardens,8,bat,0,1,0,by wickets,5,1,4,Kolkata,India
335992,23-04-2008,5,4,1,Sawai Mansingh Stadium,4,bat,0,1,0,by wickets,6,5,32,Jaipur,India
335993,24-04-2008,8,6,1,"Rajiv Gandhi International Stadium, Uppal",8,bat,0,1,0,by wickets,9,6,41,Hyderabad,India
335994,25-04-2008,3,7,1,"MA Chidambaram Stadium, Chepauk",7,field,0,1,0,by runs,6,3,18,Chennai,India
335995,26-04-2008,8,5,1,"Rajiv Gandhi International Stadium, Uppal",5,field,0,1,0,by wickets,3,5,31,Hyderabad,India
335996,27-04-2008,4,7,1,"Punjab Cricket Association Stadium, Mohali",7,field,0,1,0,by runs,66,4,26,Chandigarh,India
335997,28-04-2008,2,5,1,M Chinnaswamy Stadium,5,field,0,1,0,by wickets,7,5,32,Bangalore,India
335998,29-04-2008,3,1,1,"MA Chidambaram Stadium, Chepauk",1,bat,0,1,0,by wickets,9,3,22,Chennai,India
335999,30-04-2008,7,8,1,Dr DY Patil Sports Academy,8,field,0,1,0,by wickets,10,8,53,Mumbai,India
336000,01-05-2008,4,6,1,"Punjab Cricket Association Stadium, Mohali",6,bat,0,1,0,by wickets,4,4,28,Chandigarh,India
336001,02-05-2008,2,3,1,M Chinnaswamy Stadium,3,bat,0,1,0,by runs,13,3,20,Bangalore,India
336002,03-05-2008,1,7,1,Eden Gardens,1,bat,0,1,0,by wickets,7,7,44,Kolkata,India
336003,04-05-2008,6,2,1,Feroz Shah Kotla,2,field,0,1,0,by runs,10,6,118,Delhi,India
336004,05-05-2008,8,4,1,"Rajiv Gandhi International Stadium, Uppal",4,field,0,1,0,by wickets,7,4,100,Hyderabad,India
336005,06-05-2008,5,1,1,Sawai Mansingh Stadium,5,bat,0,1,0,by runs,45,5,101,Jaipur,India
336006,07-05-2008,3,6,1,"MA Chidambaram Stadium, Chepauk",3,bat,0,1,0,by wickets,8,6,41,Chennai,India
336007,08-05-2008,8,2,1,"Rajiv Gandhi International Stadium, Uppal",8,bat,0,1,0,by wickets,5,2,81,Hyderabad,India
336008,09-05-2008,4,1,1,"Punjab Cricket Association Stadium, Mohali",4,bat,0,1,0,by runs,9,4,29,Chandigarh,India
336009,10-05-2008,7,6,1,Dr DY Patil Sports Academy,6,field,0,1,0,by runs,29,7,49,Mumbai,India
336010,11-05-2008,5,3,1,Sawai Mansingh Stadium,3,bat,0,1,0,by wickets,8,5,102,Jaipur,India
